Gene symbol,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Aminoacyl-tRNA biosynthesis,Aminobenzoate degradation,Arachidonic acid metabolism,Arginine and Proline metabolism,Ascorbate and aldarate metabolism,Biosynthesis of unsaturated fatty acids,Butanoate metabolism,Caprolactam degradation,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Chloroalkane and chloroalkene degradation,Citrate cycle (TCA cycle),Complement and coagulation cascades,Cysteine and methionine metabolism,Fatty acid elongation,Fatty acid metabolism,Folate biosynthesis,Fructose and Mannose metabolism,Galactose metabolism,Glutathione metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,"Glycine, Serine and Threonine metabolism",Glycolysis classical,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate metabolism,Insulin signaling pathway,Lysine degradation,Metabolism of xenobiotics by cytochrome P450,Methane metabolism,Naphthalene degradation,Nicotinate and Nicotinamide metabolism,Nitrogen metabolism,One carbon pool by folate,Other glycan degradation,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Pentose and Glucuronate interconversions,Pentose phosphate pathway,Phenylalanine metabolism,Phenylpropanoid biosynthesis,Phosphatidylinositol signaling system,Polyamine metabolism,Porphyrin and chlorophyll metabolism,Primary bile acid biosynthesis,Propanoate metabolism,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Retinol metabolism,Riboflavin metabolism,Sesquiterpenoid and triterpenoid biosynthesis,Sphingolipid metabolism,Starch and Sucrose metabolism,Steroid biosynthesis,Steroid degradation,Steroid hormone biosynthesis,Streptomycin biosynthesis,Sulfur metabolism,Terpenoid backbone biosynthesis,Toluene degradation,Tryptophan metabolism,Tyrosine metabolism,"Valine, leucine and isoleucine degradation",Vitamin B6 metabolism,beta-Alanine metabolism
ADPSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835080676448612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35667494393873245,0.0,0.0,0.0,-0.3606510916092083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.630828415273769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFAR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35667494393873245,0.0,0.0,0.0,-0.3606510916092083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.630828415273769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.713797927758343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0316015783851493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIFM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0316015783851493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.021685132480643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.9932517730102834,0.0,-0.40047756659712525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485385263952801,0.0,1.2716314537343303,0.0,1.658862795670978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8743629975075107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.9251403471951904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5136609570403314,0.0,0.9196185226312814,0.0,0.45332891762268235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.916290731874155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0336157292563164,-0.4769611098132343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7339691750802004,0.0,0.0,0.0,0.0
AKR1B10,0.0,0.0,0.0,0.0,0.0,0.0,0.125163142954006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.946629560546259,0.0,0.0,0.0,2.9389414392028357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7432097986589836,-1.2417131319241674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
