Gene symbol,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Aminoacyl-tRNA biosynthesis,Aminobenzoate degradation,Arachidonic acid metabolism,Arginine and Proline metabolism,Ascorbate and aldarate metabolism,Biosynthesis of unsaturated fatty acids,Butanoate metabolism,Caprolactam degradation,Carbon fixation in photosynthetic organisms,Chloroalkane and chloroalkene degradation,Complement and coagulation cascades,Cysteine and methionine metabolism,Fatty acid biosynthesis,Fatty acid elongation,Fatty acid metabolism,Folate biosynthesis,Fructose and Mannose metabolism,Galactose metabolism,Glutathione metabolism,Glycerolipid metabolism,"Glycine, Serine and Threonine metabolism",Glycolysis classical,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate metabolism,Insulin signaling pathway,Lysine degradation,Metabolism of xenobiotics by cytochrome P450,Methane metabolism,Nicotinate and Nicotinamide metabolism,Nitrogen metabolism,One carbon pool by folate,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Pentose and Glucuronate interconversions,Pentose phosphate pathway,Phenylpropanoid biosynthesis,Phosphatidylinositol signaling system,Polyamine metabolism,Primary bile acid biosynthesis,Propanoate metabolism,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Retinol metabolism,Sphingolipid metabolism,Steroid degradation,Steroid hormone biosynthesis,Sulfur metabolism,Toluene degradation,Tryptophan metabolism,Tyrosine metabolism,"Valine, leucine and isoleucine degradation",Vitamin B6 metabolism,beta-Alanine metabolism
AKR1C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.657035240288097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.809142989314028,0.0,0.0,5.492488086547533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.965897218807468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.809142989314028,0.0,0.0,5.492488086547533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.965897218807468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.676076274775909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.429216196844383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.736572297479192,0.0,0.0,0.0,0.0,12.611537753638338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.468436909997665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.094344560222101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6131044729171782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.094344560222101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6131044729171782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.094344560222101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6131044729171782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7346010559763416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.665604975961246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH4,0.0,0.0,0.0,0.0,0.0,0.5108256257659907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6215860439570147,0.0,0.0,0.0,-1.232143681349775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28768206995178097,0.0,0.0,1.7047480922384253
